,coef,std
percent_work_from_home,0.7526108625809297,105.18048322920413
percent_rental_units_occupied,-6.925312345822969,213.79444164237356
percent_workforce_unemployed,18.25958422929046,226.63948308768514
percent_associates,-1.0878292128353348,231.07747059314298
percent_white,-6.472917728523258,177.43814416760551
percent_buildings_20_49_units,2.3526676085811067,167.31977281399713
total_pop,0.055333852573302277,0.9469670232296182
median_building_age,7.211915936130423,338.007838622702
percent_buildings_50+_units,5.461559974909554,132.45595924079362
percent_highschool,-1.3308119805564798,190.31286851125765
percent_units_owner_occupied,0.09840828174537708,216.93971908585894
income_per_capita,0.0075497109027453145,0.5268599774602551
percent_native_am,0.23608478299522065,18.52630975740848
median_age,17.799254132729747,541.6841864017791
poverty_rate,14.387583607401416,160.24865261327614
percent_commute_public_transport,-6.360220881167282,188.03795600420617
percent_buildings_10_19_units,0.8441951879420693,152.0554328693592
ar.L1,0.5224579376417596,0.1796431250963597
sigma2,138.0653311449086,175.8727195009208
